indicator,ensemble,linear,xgboost,Winner,Min_MAPE
gdp_eur_hab,3.376309409416651,3.3343945125832435,4.935028469750204,linear,3.3343945125832435
gdp_mio_eur,7.56383306951071,9.32462980615765,8.317974297271071,ensemble,7.56383306951071
gfcf,7.187805311813053,7.159164346368045,16.726862503745444,linear,7.159164346368045
gva,7.755415552025201,9.66737882455428,8.829551568707899,ensemble,7.755415552025201
gva_sector_a,12.95722086075742,13.308474092402005,12.967106558323009,ensemble,12.95722086075742
gva_sector_bde,8.727083804043463,9.74486077683982,11.33646505309888,ensemble,8.727083804043463
gva_sector_c,14.775174288837547,16.833428099506044,20.633594353997264,ensemble,14.775174288837547
gva_sector_f,11.34613325424877,10.684150614326876,16.555065322710952,linear,10.684150614326876
gva_sector_ghi,5.841126265949534,7.769731686797697,9.322796971130485,ensemble,5.841126265949534
gva_sector_ghij,7.368607941123215,9.517315343652474,10.189269956460354,ensemble,7.368607941123215
gva_sector_j,6.093983000164385,8.668895381661807,10.534430761049766,ensemble,6.093983000164385
gva_sector_k,12.137249494114014,11.978118925747811,16.20135922885631,linear,11.978118925747811
gva_sector_klmn,3.970016733232642,4.054200315349803,6.525657822773495,ensemble,3.970016733232642
gva_sector_l,4.752530868824474,4.334952027464317,8.776339585177618,linear,4.334952027464317
gva_sector_mn,5.936755413197534,6.075636854083828,9.361651374759033,ensemble,5.936755413197534
gva_sector_opq,8.315553104742946,6.4021685542149225,10.242925070789695,linear,6.4021685542149225
gva_sector_opqrstu,5.882756330641532,8.441944138982933,13.022155864765429,ensemble,5.882756330641532
gva_sector_rstu,6.26610556530718,4.296562555312466,9.96448391555815,linear,4.296562555312466
