geo,year,geo_label,nuts_level,country_code,country_name,is_el_regional_unit,receipts,expenditure_per_overnight_stay,hotels_foreign_arrivals,hotels_domestic_arrivals,hotels_foreign_overnights,hotels_domestic_overnights,hotels_occupancy,hotels_total_arrivals,hotels_total_overnights,hotels_avg_duration_of_stay_foreign,hotels_avg_duration_of_stay_domestic,hotels_avg_duration_of_stay_total,hotels_total_arrivals_per_person,hotels_total_arrivals_per_km2,units,rooms,guest_beds,guest_beds_per_person,guest_beds_per_km2,short_stay_total_arrivals,short_stay_total_overnights,short_stay_total_arrivals_per_person,short_stay_total_arrivals_per_km2,STR_accommodation_beds,employment_accommodation_catering,employment_other,employment_total,employment_total_greece,turnover_catering,turnover_accommodation,turnover_total,population,land_area
EL64,2019,Sterea Elláda,2,EL,Greece,0,180.126,60.486,377584.0,439819.0,1057580.0,1106013.0,0.0,817403.0,2163593.0,2.801,2.515,2.647,1.47,52.55,523.0,15385.0,29580.0,0.053,1.902,,,,,20365.0,17066.34,177102.03,194168.37,3911029.993,185480.0,59927.0,245407.0,555960.0,15554.625
EL64,2020,Sterea Elláda,2,EL,Greece,0,58.871,54.034,61171.0,247893.0,205096.0,594565.0,0.0,309064.0,799661.0,3.353,2.398,2.587,0.556,19.87,521.0,15382.0,29841.0,0.054,1.918,93726.0,360655.0,0.169,6.026,21929.0,16532.018,172320.545,188852.563,3875479.005,158633.0,33417.0,192050.0,556002.0,15554.625
EL64,2021,Sterea Elláda,2,EL,Greece,0,112.71,62.766,138869.0,286076.0,426602.0,675568.0,0.0,424945.0,1102170.0,3.072,2.361,2.594,0.768,27.32,511.0,15084.0,29451.0,0.053,1.893,105643.0,399641.0,0.191,6.792,21022.0,12881.056,179331.06,192212.116,3927980.423,187591.0,45597.0,233188.0,553235.0,15554.625
EL64,2022,Sterea Elláda,2,EL,Greece,0,216.912,73.234,310852.0,424468.0,862126.0,1057615.0,0.0,735320.0,1919741.0,2.773,2.492,2.611,1.45,47.273,507.0,14949.0,29354.0,0.058,1.887,146336.0,553739.0,0.289,9.408,23473.0,17199.054,191881.089,209080.143,4140633.169,268888.0,70305.0,339193.0,506991.0,15554.625
EL64,2023,Sterea Elláda,2,EL,Greece,0,166.154,67.7,383552.0,487212.0,1036187.0,1191869.0,0.0,870764.0,2228056.0,2.702,2.446,2.559,1.728,55.981,493.0,14636.0,28778.0,0.057,1.85,148815.0,683914.0,0.295,9.567,25199.0,17967.328,196994.486,214961.814,4193460.378,319195.0,88806.0,408001.0,503941.0,15554.625
EL64,2024,Sterea Elláda,2,EL,Greece,0,219.3,98.8,376131.0,499778.0,1016463.0,1207968.0,0.0,875909.0,2224431.0,2.702,2.417,2.54,1.734,56.312,493.0,14728.0,28957.0,0.057,1.862,142477.0,646579.0,0.282,9.16,26904.0,19122.178,193345.969,212468.147,4275952.916,333671.0,91054.0,424725.0,505073.0,15554.625
EL65,2016,Peloponnisos,2,EL,Greece,0,323.517,56.165,347843.0,635952.0,1343328.0,1460924.0,0.0,983795.0,2804252.0,3.862,2.297,2.85,1.693,63.457,660.0,19082.0,37614.0,0.065,2.426,,,,,,17157.21,179129.65,196286.86,3673559.262,,,,581026.0,15503.448
EL65,2017,Peloponnisos,2,EL,Greece,0,307.263,58.934,464780.0,669096.0,1597958.0,1493979.0,0.0,1133876.0,3091937.0,3.438,2.233,2.727,1.958,73.137,659.0,19128.0,37733.0,0.065,2.434,,,,,,20459.33,184519.833,204979.163,3752673.835,,,,579182.0,15503.448
EL65,2018,Peloponnisos,2,EL,Greece,0,415.478,62.817,657247.0,887776.0,2128893.0,1927132.0,0.0,1545023.0,4056025.0,3.239,2.171,2.625,2.679,99.657,672.0,19447.0,38461.0,0.067,2.481,,,,,,17489.39,190696.298,208185.688,3828021.117,,,,576749.0,15503.448
EL65,2019,Peloponnisos,2,EL,Greece,0,416.898,64.473,655289.0,837452.0,2080501.0,1856367.0,0.0,1492741.0,3936868.0,3.175,2.217,2.637,2.599,96.284,685.0,19853.0,39384.0,0.069,2.54,,,,,52346.0,20796.47,190634.712,211431.182,3911029.993,310022.0,125258.0,435280.0,574447.0,15503.448
EL65,2020,Peloponnisos,2,EL,Greece,0,132.197,47.793,119647.0,482787.0,350747.0,1107260.0,0.0,602434.0,1458007.0,2.932,2.293,2.42,1.053,38.858,687.0,19831.0,39521.0,0.069,2.549,140917.0,425996.0,0.246,9.089,55755.0,20903.172,193027.22,213930.392,3875479.005,252101.0,66658.0,318759.0,572151.0,15503.448
EL65,2021,Peloponnisos,2,EL,Greece,0,249.598,60.979,242308.0,563169.0,804225.0,1346893.0,0.0,805477.0,2151118.0,3.319,2.392,2.671,1.415,51.955,681.0,19777.0,39341.0,0.069,2.538,234639.0,628876.0,0.412,15.135,53226.0,14362.239,197638.911,212001.15,3927980.423,313929.0,104261.0,418190.0,569345.0,15503.448
EL65,2022,Peloponnisos,2,EL,Greece,0,452.963,56.327,499891.0,752843.0,1729660.0,1712165.0,0.0,1252734.0,3441825.0,3.46,2.274,2.747,2.328,80.804,678.0,19867.0,39823.0,0.074,2.569,340018.0,926477.0,0.632,21.932,60575.0,22230.776,194160.098,216390.875,4140633.169,455922.0,157705.0,613627.0,538218.0,15503.448
EL65,2023,Peloponnisos,2,EL,Greece,0,383.193,69.169,589386.0,882058.0,1992593.0,1966991.0,0.0,1471444.0,3959584.0,3.381,2.23,2.691,2.756,94.911,680.0,19943.0,40134.0,0.075,2.589,489237.0,1457170.0,0.916,31.557,65511.0,23494.125,198112.863,221606.988,4193460.378,539344.0,182369.0,721713.0,533865.0,15503.448
EL65,2024,Peloponnisos,2,EL,Greece,0,371.5,69.142,595017.0,930869.0,2018211.0,2108429.0,0.0,1525886.0,4126640.0,3.392,2.265,2.704,2.87,98.422,686.0,20230.0,40929.0,0.077,2.64,487182.0,1441301.0,0.916,31.424,69191.0,23849.415,205796.882,229646.297,4275952.916,544984.0,199875.0,744859.0,531598.0,15503.448
