geo,indicator,forecast_2023,model_used
DEB1,gfcf,14341.155750974734,Multi
DEB2,gfcf,5628.2196226438855,Multi
DEB3,gfcf,25864.969920293832,Multi
DEC0,gfcf,7882.961391398445,Multi
DED2,gfcf,14966.13366698622,Multi
DED4,gfcf,11621.013289337701,Multi
DED5,gfcf,9762.586667700245,Multi
DEE0,gfcf,17155.933561237423,Multi
DEF0,gfcf,26679.72380052632,Multi
DEG0,gfcf,16950.770257551027,Multi
DK01,gfcf,35968.27830703872,Multi
DK02,gfcf,8142.042502379728,Multi
DK03,gfcf,15599.65648128874,Multi
DK04,gfcf,19890.44498130506,Multi
DK05,gfcf,7200.873449176837,Multi
DKZZ,gfcf,1808.1251017628779,Multi
EL30,gfcf,14253.184380548828,Multi
EL41,gfcf,266.37900682918394,Multi
EL42,gfcf,1399.3077431861834,Multi
EL43,gfcf,2501.833580960672,Multi
EL51,gfcf,1786.7273220618995,Multi
EL52,gfcf,4926.502753421671,Multi
EL53,gfcf,953.1481779808614,Multi
EL54,gfcf,1219.0513096756417,Multi
EL61,gfcf,2187.0620750419216,Multi
EL62,gfcf,804.2188213171509,Multi
EL63,gfcf,1960.4064357716359,Multi
EL64,gfcf,2887.72031868666,Multi
EL65,gfcf,2178.66374320239,Multi
ES11,gfcf,14200.598394699,Multi
ES12,gfcf,5733.212530274867,Multi
ES13,gfcf,3686.4489218296176,Multi
ES21,gfcf,15775.286760707544,Multi
ES22,gfcf,5525.862443808592,Multi
ES23,gfcf,2009.0484498232881,Multi
ES24,gfcf,10702.822598880823,Multi
ES30,gfcf,67317.77158217136,Multi
ES41,gfcf,14224.9519815291,Multi
ES42,gfcf,11392.559316448636,Multi
ES43,gfcf,5929.425341960675,Multi
ES51,gfcf,54614.44629903042,Multi
ES52,gfcf,28166.58728383908,Multi
ES53,gfcf,7371.916113889307,Multi
ES61,gfcf,35768.76158042303,Multi
ES62,gfcf,8506.909123455242,Multi
ES63,gfcf,402.07017887134083,Multi
ES64,gfcf,328.20483280526264,Multi
ES70,gfcf,7633.66889474101,Multi
ESZZ,gfcf,503.67529572814084,Multi
FI19,gfcf,14509.366516710326,Multi
FI1B,gfcf,30362.713927580196,Multi
FI1C,gfcf,11319.806811113447,Multi
FI1D,gfcf,14314.225763379429,Multi
FI20,gfcf,0.0,Multi
FIZZ,gfcf,139.48759138408138,Multi
HU11,gfcf,15060.585885455048,Multi
HU12,gfcf,5684.104606095447,Multi
