indicator,ensemble,linear,timesfm,xgboost,Winner,Min_MAPE
gdp_eur_hab,3.376309409416651,3.3343945125832435,7.535556866855213,4.849898170262079,linear,3.3343945125832435
gdp_mio_eur,7.56383306951071,9.32462980615765,9.63480717390014,6.853256765250373,xgboost,6.853256765250373
gfcf,7.187805311813053,7.159164346368045,13.929595229096831,16.82004905643979,linear,7.159164346368045
gva,7.755415552025201,9.66737882455428,97.55984813349504,8.373826469937677,ensemble,7.755415552025201
gva_sector_a,12.95722086075742,13.308474092402005,13.474383323708183,12.192704584521682,xgboost,12.192704584521682
gva_sector_bde,8.727083804043463,9.74486077683982,10.819090831243225,11.403777565699205,ensemble,8.727083804043463
gva_sector_c,14.775174288837547,16.833428099506044,10.231518932502096,20.27468370307841,timesfm,10.231518932502096
gva_sector_f,11.34613325424877,10.684150614326876,13.62399078439368,17.206841068192773,linear,10.684150614326876
gva_sector_ghi,5.841126265949534,7.769731686797697,16.229979817434554,9.636810133235398,ensemble,5.841126265949534
gva_sector_ghij,7.368607941123215,9.517315343652474,14.548685762470912,10.322953058436385,ensemble,7.368607941123215
gva_sector_j,6.093983000164385,8.668895381661807,11.99950935980974,10.389197072506564,ensemble,6.093983000164385
gva_sector_k,12.137249494114014,11.978118925747811,18.687981978731784,16.08198533594327,linear,11.978118925747811
gva_sector_klmn,3.970016733232642,4.054200315349803,10.129095323772704,6.425427155360722,ensemble,3.970016733232642
gva_sector_l,4.752530868824474,4.334952027464317,8.246575070747781,8.40442287696023,linear,4.334952027464317
gva_sector_mn,5.936755413197534,6.075636854083828,14.881621245352566,9.867357768520394,ensemble,5.936755413197534
gva_sector_opq,8.315553104742946,6.4021685542149225,11.484796596844928,13.338812791399649,linear,6.4021685542149225
gva_sector_opqrstu,5.882756330641532,8.441944138982933,8.977312258629224,13.563619224640952,ensemble,5.882756330641532
gva_sector_rstu,6.26610556530718,4.296562555312466,14.83311982203393,10.777678026803011,linear,4.296562555312466
