geo,indicator,forecast_2023,model_used
DEA5,gfcf,33226.546066548675,Multi
DEB1,gfcf,12926.498571946247,Multi
DEB2,gfcf,5154.331748239333,Multi
DEB3,gfcf,22328.126560045646,Multi
DEC0,gfcf,7404.265748006499,Multi
DED2,gfcf,12402.12129736218,Multi
DED4,gfcf,10088.898475063394,Multi
DED5,gfcf,9385.677796003487,Multi
DEE0,gfcf,15756.431952713645,Multi
DEF0,gfcf,24326.849714957527,Multi
DEG0,gfcf,15770.915838458921,Multi
DK01,gfcf,40989.16761357238,Multi
DK02,gfcf,7734.457932201802,Multi
DK03,gfcf,15196.455456806681,Multi
DK04,gfcf,19087.117197997657,Multi
DK05,gfcf,7061.002946610048,Multi
DKZZ,gfcf,1897.655891735575,Multi
EL30,gfcf,21442.362895884253,Multi
EL41,gfcf,833.4691111102711,Multi
EL42,gfcf,1656.547053579899,Multi
EL43,gfcf,2577.1174840047574,Multi
EL51,gfcf,2000.2606574398453,Multi
EL52,gfcf,6315.2457541343665,Multi
EL53,gfcf,1223.9123678080239,Multi
EL54,gfcf,1298.9230130086496,Multi
EL61,gfcf,2668.97582688483,Multi
EL62,gfcf,1139.5543541490117,Multi
EL63,gfcf,2282.9944945773987,Multi
EL64,gfcf,2774.219128189815,Multi
EL65,gfcf,2331.881666505826,Multi
ES11,gfcf,14214.610475729176,Multi
ES12,gfcf,6463.178386601268,Multi
ES13,gfcf,3924.5825108275367,Multi
ES21,gfcf,18263.125429553256,Multi
ES22,gfcf,6488.085499763417,Multi
ES23,gfcf,2234.0442179718793,Multi
ES24,gfcf,10012.731246862204,Multi
ES30,gfcf,65347.281893230385,Multi
ES41,gfcf,14001.222357172943,Multi
ES42,gfcf,11489.237307209118,Multi
ES43,gfcf,6387.529424827918,Multi
ES51,gfcf,56748.855222573875,Multi
ES52,gfcf,28911.053099856465,Multi
ES53,gfcf,7395.581848303913,Multi
ES61,gfcf,37016.85694353453,Multi
ES62,gfcf,8571.91877103627,Multi
ES63,gfcf,835.5551201948865,Multi
ES64,gfcf,780.870103184775,Multi
ES70,gfcf,8856.351630608493,Multi
ESZZ,gfcf,447.36514411160647,Multi
FI19,gfcf,14957.961734419297,Multi
FI1B,gfcf,25977.663114354466,Multi
FI1C,gfcf,11585.368063145594,Multi
FI1D,gfcf,13434.222618547721,Multi
FI20,gfcf,576.5631735564838,Multi
FIZZ,gfcf,169.66435297461706,Multi
HU11,gfcf,14232.67352693083,Multi
HU12,gfcf,4720.007098097325,Multi
HU21,gfcf,5491.656951873843,Multi
HU22,gfcf,4925.776236212901,Multi
HU23,gfcf,3594.641538993337,Multi
HU31,gfcf,3687.8648103480905,Multi
HU32,gfcf,5009.431014686545,Multi
HU33,gfcf,4728.79319672672,Multi
HUZZ,gfcf,159.97862235563952,Multi
IE04,gfcf,8885.161987434083,Multi
IE05,gfcf,51606.17556379506,Multi
IE06,gfcf,61591.286804535885,Multi
ITC1,gfcf,36801.466780441864,Multi
ITC2,gfcf,1123.2076683869414,Multi
ITC3,gfcf,12786.104878291117,Multi
ITC4,gfcf,85399.24585846288,Multi
ITF1,gfcf,8988.760911035031,Multi
ITF2,gfcf,2054.8347292358244,Multi
ITF3,gfcf,26820.74352416932,Multi
ITF4,gfcf,17591.308981433223,Multi
ITF5,gfcf,4133.236398663067,Multi
ITF6,gfcf,7764.586314311254,Multi
ITG1,gfcf,21787.480226024312,Multi
ITG2,gfcf,8692.138511459,Multi
ITH1,gfcf,7027.7996641374275,Multi
ITH2,gfcf,5830.734210884572,Multi
ITH3,gfcf,41958.80497331189,Multi
ITH4,gfcf,9676.664403438956,Multi
ITH5,gfcf,42571.81115769215,Multi
ITI1,gfcf,29405.280715193898,Multi
ITI2,gfcf,7218.357212808465,Multi
ITI3,gfcf,10456.261183017621,Multi
ITI4,gfcf,47099.89765579849,Multi
ITZZ,gfcf,832.7455273668666,Multi
LT01,gfcf,6620.241214013766,Multi
LT02,gfcf,9165.493248347917,Multi
LVZZ,gfcf,167.3525265830426,Multi
MK00,gfcf,3269.1756904765816,Multi
MTZZ,gfcf,163.89058029154825,Multi
NL11,gfcf,6808.804313676894,Multi
NL12,gfcf,7020.438822403473,Multi
NL13,gfcf,4243.684249975564,Multi
NL21,gfcf,13223.52394596987,Multi
NL22,gfcf,23675.61761382466,Multi
NL23,gfcf,4287.925126433331,Multi
NL32,gfcf,43282.41887497198,Multi
NL34,gfcf,4720.319457534367,Multi
NL41,gfcf,32308.021231352737,Multi
NL42,gfcf,12439.843695239542,Multi
NLZZ,gfcf,2038.0630082157923,Multi
NO02,gfcf,3835.7952223300667,Multi
NO06,gfcf,6038.086015519267,Multi
NO07,gfcf,6341.586689577639,Multi
NO08,gfcf,36585.64343291828,Multi
NO09,gfcf,6840.759310945212,Multi
NO0A,gfcf,23964.01646995909,Multi
NO0B,gfcf,206.63613570033792,Multi
NOZZ,gfcf,35708.851172678726,Multi
PL21,gfcf,10742.05542252939,Multi
PL22,gfcf,16793.543770042103,Multi
PL41,gfcf,12794.763752982828,Multi
PL42,gfcf,5893.16056924524,Multi
PL43,gfcf,3694.7198354937086,Multi
PL51,gfcf,11734.479142203885,Multi
PL52,gfcf,3124.72073317404,Multi
PL61,gfcf,7350.8821992808,Multi
PL62,gfcf,4385.198711161913,Multi
PL63,gfcf,8700.054189669114,Multi
PL71,gfcf,9109.996898579462,Multi
PL72,gfcf,3846.5845825011156,Multi
PL81,gfcf,6240.798796336339,Multi
PL82,gfcf,6377.010580995579,Multi
PL84,gfcf,4302.695167000678,Multi
PL91,gfcf,23825.19203164683,Multi
PL92,gfcf,8954.287348892447,Multi
PLZZ,gfcf,159.97862235563952,Multi
PT11,gfcf,15951.634235171157,Multi
PT15,gfcf,2323.791542871985,Multi
PT20,gfcf,1420.1091781097211,Multi
PT30,gfcf,1616.9984518517374,Multi
PTZZ,gfcf,176.31374270837392,Multi
RO11,gfcf,8102.7333029023175,Multi
RO12,gfcf,7824.201344485582,Multi
RO21,gfcf,6456.557098535849,Multi
RO22,gfcf,6804.041911057338,Multi
RO31,gfcf,7437.519922658903,Multi
RO32,gfcf,22124.971029099208,Multi
RO41,gfcf,4612.927667253225,Multi
RO42,gfcf,6228.637623931217,Multi
ROZZ,gfcf,184.58966861283,Multi
RS11,gfcf,6716.335253971491,Multi
RS12,gfcf,4201.954772188156,Multi
RS21,gfcf,2396.078827506791,Multi
RS22,gfcf,2364.639806922568,Multi
RSZZ,gfcf,163.58903201185726,Multi
SE11,gfcf,47235.11731211424,Multi
SE12,gfcf,21869.50630022989,Multi
SE21,gfcf,10071.955728941142,Multi
SE22,gfcf,18622.568729640127,Multi
SE23,gfcf,26926.655456376357,Multi
SE31,gfcf,8363.564399671664,Multi
SE32,gfcf,4104.640846625271,Multi
SE33,gfcf,11184.680730595146,Multi
SEZZ,gfcf,177.5847072075627,Multi
SI03,gfcf,7148.6884011437205,Multi
SI04,gfcf,8234.339630569002,Multi
SK01,gfcf,6960.731812949434,Multi
SK02,gfcf,8670.762859632176,Multi
SK03,gfcf,5229.824222005924,Multi
SK04,gfcf,5132.407622079098,Multi
TR10,gfcf,31525.620626069707,Multi
TR21,gfcf,4482.360920547653,Multi
TR22,gfcf,2664.8982085363077,Multi
TR31,gfcf,6717.920016719786,Multi
TR32,gfcf,4716.817468413265,Multi
TR33,gfcf,5323.120329483194,Multi
TR41,gfcf,6752.533903926078,Multi
TR42,gfcf,7336.022036263812,Multi
TR51,gfcf,8912.250925436665,Multi
TR52,gfcf,3001.224604079609,Multi
TR61,gfcf,4279.597565365184,Multi
TR62,gfcf,5210.354004403901,Multi
TR63,gfcf,3941.4601810456265,Multi
TR71,gfcf,2275.6364629964924,Multi
TR72,gfcf,2934.5675893714524,Multi
TR81,gfcf,1247.2811790571654,Multi
TR82,gfcf,1066.2851568224537,Multi
TR83,gfcf,2533.4733100807457,Multi
TR90,gfcf,2484.869559540901,Multi
TRA1,gfcf,1082.0275793406272,Multi
TRA2,gfcf,761.9942587396483,Multi
TRB1,gfcf,2223.0092365871456,Multi
TRB2,gfcf,1210.9454557792296,Multi
TRC1,gfcf,3635.3657167659585,Multi
TRC2,gfcf,2403.463083813924,Multi
TRC3,gfcf,2397.133478006986,Multi
AL01,gva,2779.51006846323,Single
AL02,gva,6025.602714517727,Single
AL03,gva,2977.043358644381,Single
CH01,gva,106463.70222823852,Single
CH02,gva,54649.55278322902,Single
CH03,gva,40020.89243934232,Single
CH04,gva,915235.2672875394,Single
CH05,gva,27815.547242426004,Single
CH06,gva,22152.892725206915,Single
CH07,gva,49233.92643893098,Single
NO02,gva,431660.2178826437,Single
NO06,gva,18690.138121141343,Single
NO07,gva,551660.8277979823,Single
NO08,gva,715427.0051606506,Single
NO09,gva,943676.2370648886,Single
NO0A,gva,59012.139250725086,Single
NO0B,gva,8242.607884288926,Single
NOZZ,gva,51445.06367373425,Single
PLZZ,gva,90.96017625207605,Single
AL01,gva_sector_a,641.6922555602063,Single
AL02,gva_sector_a,453.2116484208676,Single
AL03,gva_sector_a,1244.7026343386271,Single
BEZZ,gva_sector_a,0.0,Single
CH01,gva_sector_a,889.097312810502,Single
CH02,gva_sector_a,1125.5034809231129,Single
CH03,gva_sector_a,334.1583228390901,Single
CH04,gva_sector_a,328.99263979114653,Single
CH05,gva_sector_a,860.5615896397896,Single
CH06,gva_sector_a,513.9576574336159,Single
CH07,gva_sector_a,69.19345354388498,Single
DE11,gva_sector_a,1168.2585592229,Single
DE12,gva_sector_a,428.49478582726266,Single
DE13,gva_sector_a,690.4172440044482,Single
DE14,gva_sector_a,818.3985907315472,Single
DE21,gva_sector_a,1574.7283436191335,Single
DE22,gva_sector_a,1348.997657407387,Single
DE23,gva_sector_a,792.9505867347721,Single
DE24,gva_sector_a,511.163342253415,Single
DE25,gva_sector_a,624.8538975691511,Single
DE26,gva_sector_a,745.3792561795515,Single
DE27,gva_sector_a,1082.107045710847,Single
DE30,gva_sector_a,2.2511728981761534,Single
DE40,gva_sector_a,1428.8673117624967,Single
DE50,gva_sector_a,2.874350553009632,Single
DE60,gva_sector_a,106.42726782425905,Single
DE71,gva_sector_a,496.73207902793115,Single
DE72,gva_sector_a,233.38900645458463,Single
DE73,gva_sector_a,494.7056215772236,Single
DE80,gva_sector_a,2120.3063191647866,Single
DE91,gva_sector_a,929.9778786725404,Single
DE92,gva_sector_a,1217.9563898743038,Single
DE93,gva_sector_a,2019.7356296075855,Single
DE94,gva_sector_a,3244.493328732275,Single
DEA1,gva_sector_a,1297.6379500256535,Single
DEA2,gva_sector_a,903.3248327671973,Single
DEA3,gva_sector_a,1447.8850594588503,Single
DEA4,gva_sector_a,763.9888091818821,Single
DEA5,gva_sector_a,635.6866712139388,Single
DEB1,gva_sector_a,486.9050502263165,Single
DEB2,gva_sector_a,308.58231464671314,Single
DEB3,gva_sector_a,1539.1423399766911,Single
DEC0,gva_sector_a,58.89400065935267,Single
DED2,gva_sector_a,722.3220421950227,Single
DED4,gva_sector_a,712.3932932532587,Single
DED5,gva_sector_a,474.4719730952552,Single
DEE0,gva_sector_a,2102.5389710773084,Single
DEF0,gva_sector_a,1997.8637674042984,Single
DEG0,gva_sector_a,1495.2155306746456,Single
FIZZ,gva_sector_a,0.0,Single
FR10,gva_sector_a,688.0530502848269,Single
FRB0,gva_sector_a,2990.1661671564834,Single
FRC1,gva_sector_a,2643.652052868381,Single
FRC2,gva_sector_a,1004.6865241143942,Single
FRD1,gva_sector_a,1684.53940659212,Single
FRD2,gva_sector_a,1257.2394051259218,Single
FRE1,gva_sector_a,1995.26507643177,Single
FRE2,gva_sector_a,2313.083433699981,Single
FRF1,gva_sector_a,1167.609501954503,Single
FRF2,gva_sector_a,4693.116397398506,Single
FRF3,gva_sector_a,1299.222713907249,Single
FRG0,gva_sector_a,3389.1061179082485,Single
FRH0,gva_sector_a,4083.808822437095,Single
FRI1,gva_sector_a,3724.875383979885,Single
FRI2,gva_sector_a,588.7562359348618,Single
FRI3,gva_sector_a,2926.4212549722674,Single
