indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
gdp_mio_eur,39.21481053833856,7.966010994777645,61725.297221405635,7413.46253969764,26997.90434070929,4018.606323688386,0.4821789677887982,0.9925304317253674,-31.248799543560917,Single
gdp_eur_hab,27.86352853550883,4.265869806833132,20344.89862166046,2081.4981909951225,10644.419935543716,1366.4666082993665,0.0907815820638912,0.9904827990354603,-23.597658728675697,Single
gfcf,7.972104151049805,13.46466297978533,956.312476318093,1241.1824537134553,728.6077551394594,998.4729629710453,0.9749847619913091,0.9578617737377242,5.4925588287355245,Multi
gva,41.26962815835732,50.22166358487623,66989.85483762468,47990.829519269675,26177.569803976545,27424.26358201025,0.24777653472222372,0.6139484353021947,8.952035426518906,Multi
gva_sector_a,734.0801401641695,10.706250423584377,5653.508338553941,187.33487380289867,3462.6420209687094,105.6599811414798,-28.23570794891166,0.9678992776764914,-723.3738897405851,Single
gva_sector_bde,30.058351486768025,9.626088935445289,2714.049167235988,920.2716088300066,1505.2557318034198,641.6787387743585,0.9074804085471995,0.9893627263440203,-20.43226255132274,Single
gva_sector_c,187.61989717468506,14.39102395677648,2169.1416215480763,931.6766236530734,1380.5247211611472,537.3055337676018,0.8289241756947637,0.9684395473257008,-173.22887321790859,Single
gva_sector_f,112.44364973896832,14.252504880890015,4047.1741111397982,466.07968956171106,2688.960506264612,275.0006455813672,-0.20850982807954432,0.9839724638171964,-98.1911448580783,Single
gva_sector_ghij,12.759796719547593,8.657117693028423,8495.154654356844,7377.302465313364,2288.0647913204393,2002.0980330323566,0.8775066846289097,0.9076227585294065,-4.102679026519168,Single
gva_sector_ghi,14.004627324263721,9.826741565724163,1895.266366643338,1592.1937707314669,1166.851413681761,923.674873197068,0.9765306606196422,0.9834364968476678,-4.177885758539558,Single
gva_sector_j,478.4488302169219,7.365616486249701,4602.50131089512,447.60927925413023,3008.8034366283423,200.8747193608768,-0.3336639699749313,0.9873858863627318,-471.08321373067224,Single
gva_sector_klmn,11.376349866019094,6.55918436348865,2015.120622905355,2529.343521524034,1067.0876617992715,977.08604873186,0.9872900455385176,0.9799756912512448,-4.817165502530443,Single
gva_sector_k,351.98565169710474,11.787144650548036,4098.3306581921415,477.5211148479604,2733.1067718610952,261.3630033413682,0.24230183935293603,0.9897135053900407,-340.19850704655676,Single
gva_sector_l,68.29460932230042,6.773126153859879,3321.897060194348,544.7619275690146,2093.3088132012285,293.96721908579525,0.6879261758718043,0.9916073618658017,-61.52148316844054,Single
gva_sector_mn,101.7183881396032,7.742169190840189,3264.195031216443,437.9465627417509,2171.865791785879,266.18408998767563,0.7358960435509538,0.995245936779796,-93.97621894876302,Single
gva_sector_opqrstu,14.377505988302081,7.678657959672572,1012.1520002245702,1110.0065151950014,681.6706930111335,458.25296782048116,0.988530282967846,0.9862052992414693,-6.6988480286295085,Single
gva_sector_opq,20.689795732622656,8.539473135428013,1180.0410458072813,522.3930079316867,812.3450566332747,341.453997901192,0.934068043686725,0.9870789905111259,-12.150322597194645,Single
gva_sector_rstu,339.36549742158286,7.761338322248132,4651.4399372093985,799.5572517966456,3107.452777695365,225.2755554803043,-2.247845039305939,0.904033512702438,-331.60415909933477,Single
