indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
gdp_mio_eur,77.82742032673706,14.331370752092914,89635.83013379388,13731.24943884252,57321.169450393034,8420.673916485599,-0.0919848076741625,0.9743744367802506,-63.49604957464414,Single
gdp_eur_hab,68.37206958642483,12.893163538815855,31992.544805022382,3861.6915976769246,23940.530567457114,3334.5468100121184,-1.2483024723940694,0.9672423801383749,-55.478906047608966,Single
gfcf,13.873287354765768,19.87542187010936,1253.616976003127,1833.6560567862002,1038.5957085111881,1570.2808090859803,0.9570132387835617,0.9080311511580306,6.002134515343593,Multi
gva,75.25240283705541,83.6658469513292,78400.08373684183,84037.48538043728,50013.60804688426,54241.74135185814,-0.03029562721075907,-0.18379063771841953,8.413444114273794,Multi
gva_sector_a,2146.0120523593473,12.909450278378623,16302.17717752249,299.0092302992802,10228.92291323742,139.47815876024407,-242.090931879755,0.9182200706972123,-2133.1026020809686,Single
gva_sector_bde,80.22931937774518,16.759723546935646,4761.084300464681,1964.65956217718,2880.8825270425086,1278.0026743056958,0.7152852107229581,0.9515188517840345,-63.469595830809546,Single
gva_sector_c,514.1409333560956,17.464931597434997,5506.971363829244,1259.7501840985774,3427.6760022179938,779.4291495410339,-0.10265198142371723,0.9422992196163048,-496.67600175866056,Single
gva_sector_f,349.6970221867855,28.12684967420268,12442.718909877487,1214.5472832263115,8319.906802126308,668.4332034996128,-10.422916189631326,0.8911633254364887,-321.5701725125828,Single
gva_sector_ghij,30.96842808853622,18.973386400264154,13948.661229792333,6308.199087587073,4914.518112692624,2497.2007609247435,0.6697560550642436,0.9324569617120873,-11.995041688272067,Single
gva_sector_ghi,37.81129036862346,20.244380716073984,5388.734464252521,2793.0196746292413,3248.6448561519055,1684.0594681786029,0.8102709110275488,0.9490307381903834,-17.566909652549473,Single
gva_sector_j,1423.8194437925786,18.98567417506665,12191.2382300618,718.8034372599592,8601.968826582057,351.71516774278143,-8.357378841976072,0.9674703892025507,-1404.833769617512,Single
gva_sector_klmn,34.348900418976534,13.844685521373215,6218.680393778671,2899.2773352089775,3159.345658663502,1501.6158949497444,0.8789573639079765,0.9736899653382014,-20.50421489760332,Single
gva_sector_k,1037.829043476358,21.300513679138767,11615.084397559138,1046.8368738264724,8166.942697549799,474.08690111192715,-5.08593042105158,0.9505643479387155,-1016.5285297972193,Single
gva_sector_l,206.77416625512447,12.075032719556777,9811.976611013864,696.8260997873572,6521.297858840122,440.6751192660504,-1.7226888373676852,0.9862679992009821,-194.6991335355677,Single
gva_sector_mn,306.1572323996278,17.595104190390234,8748.769958410134,815.6372672551682,6378.0788265820565,530.9360465544983,-0.8972156702139717,0.9835101452449926,-288.5621282092375,Single
gva_sector_opqrstu,36.4985416653959,12.810222775511793,2318.7769524546047,1126.9086711826853,1624.6576816628244,734.158462438942,0.939802399800875,0.9857819947743632,-23.6883188898841,Single
gva_sector_opq,51.415774590537254,15.371417241427377,3478.050795127891,863.9504421668485,2330.463200140725,665.5598176327533,0.42723881977504685,0.964658954181624,-36.04435734910988,Single
gva_sector_rstu,1021.1049959252462,15.269807200078207,13796.122111702569,807.9582815143849,9281.903987872378,271.49685999845576,-27.57159758583969,0.9020062587098153,-1005.835188725168,Single
