geo,indicator,forecast_2023,model_used
DED2,gfcf,14450.600130707082,Multi
DED4,gfcf,12502.294188274804,Multi
DED5,gfcf,11141.168417287317,Multi
DEE0,gfcf,16794.225532857243,Multi
DEF0,gfcf,24658.915211379615,Multi
DEG0,gfcf,17080.056564366507,Multi
DK01,gfcf,38182.295136870904,Multi
DK02,gfcf,9835.338921754032,Multi
DK03,gfcf,17101.183119649042,Multi
DK04,gfcf,18881.81161116773,Multi
DK05,gfcf,8498.38104846662,Multi
DKZZ,gfcf,287.63011517563643,Multi
EL30,gfcf,17687.900731901107,Multi
EL41,gfcf,827.35703092877,Multi
EL42,gfcf,1872.8162027411204,Multi
EL43,gfcf,2502.9416954091425,Multi
EL51,gfcf,1840.9629077370564,Multi
EL52,gfcf,5323.609300670203,Multi
EL53,gfcf,1226.044650725806,Multi
EL54,gfcf,1213.604780774953,Multi
EL61,gfcf,2292.438171691558,Multi
EL62,gfcf,1277.1064964622542,Multi
EL63,gfcf,2071.6700844151073,Multi
EL64,gfcf,2392.121861234687,Multi
EL65,gfcf,2140.475540271979,Multi
ES11,gfcf,14071.124585285646,Multi
ES12,gfcf,6139.380633545903,Multi
ES13,gfcf,3993.573358925892,Multi
ES21,gfcf,16474.823621007836,Multi
ES22,gfcf,6417.470734204011,Multi
ES23,gfcf,3257.857322455292,Multi
ES24,gfcf,9287.063433706997,Multi
ES30,gfcf,58218.37927992428,Multi
ES41,gfcf,13651.141034681883,Multi
ES42,gfcf,9636.175417100781,Multi
ES43,gfcf,5283.0747303085855,Multi
ES51,gfcf,50273.741958141756,Multi
ES52,gfcf,24743.494152344214,Multi
ES53,gfcf,9143.62998954078,Multi
ES61,gfcf,33757.883519408344,Multi
ES62,gfcf,8350.745343638891,Multi
ES63,gfcf,1495.9358394852409,Multi
ES64,gfcf,1429.15479134555,Multi
ES70,gfcf,9988.50456405054,Multi
ESZZ,gfcf,297.66549962501637,Multi
FI19,gfcf,14551.239094007875,Multi
FI1B,gfcf,26084.94434961969,Multi
FI1C,gfcf,11990.319260197692,Multi
FI1D,gfcf,12847.014948392833,Multi
FI20,gfcf,2975.40852505459,Multi
FIZZ,gfcf,18.389086794272682,Multi
HU11,gfcf,14146.782477418807,Multi
HU12,gfcf,4187.3649045576885,Multi
HU21,gfcf,4222.7183277277445,Multi
HU22,gfcf,4294.676422414442,Multi
HU23,gfcf,2723.3280662196735,Multi
HU31,gfcf,3263.462664860732,Multi
HU32,gfcf,3898.527875800591,Multi
HU33,gfcf,3674.667160256269,Multi
HUZZ,gfcf,0.0,Multi
IE04,gfcf,9704.901165434912,Multi
IE05,gfcf,47983.82136673102,Multi
IE06,gfcf,67404.80919479308,Multi
