indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
arrivals,3.3217003728169723,245183.96426628917,122355.84529128898,0.9971967582661168,Single,ensemble
arrivals_per_km2,4.153298086541453,213.12454618384075,54.44018084938249,0.9942600098390072,Single,ensemble
arrivals_per_person,3.299773203637251,0.5890657023766493,0.1295045173668292,0.969573754425956,Single,ensemble
bed_places,5.088121748246157,20568.165915506597,6472.45776994009,0.9778753891068772,Single,ensemble
bed_places_per_1k_persons,6.567138597416462,28.335223059325404,8.01731728958537,0.9486149856667428,Single,ensemble
bed_places_per_km2,6.32480848072353,5.6236276496320805,1.1648463999231744,0.97460903296821,Single,ensemble
establishments,6.346384676698416,2425.064902735557,436.0550936598116,0.6991413532615411,Single,ensemble
establishments_per_1k_persons,4.852320035362153,0.7708123682241625,0.1603086137735578,0.9237423617933,Single,ensemble
establishments_per_km2,6.620179895665232,0.3820928369037321,0.0628643743965942,0.8545571813620105,Single,ensemble
gfcf_sector_ghi,2.5006685303195546,79.57209371342098,27.323314206642348,0.997586623865678,Single,ensemble
nights_spent,4.0255688739950575,2229155.7001584508,730234.0377798766,0.9776214539753338,Single,ensemble
nights_spent_per_km2,5.245703833117597,1199.5574841904995,249.8751931438718,0.981033058745081,Single,ensemble
nights_spent_per_person,3.776602314472572,3.373130906693979,0.5758879905864005,0.9539296233261216,Single,ensemble
short_stay,4.987836140421562,1134981.3429545574,254631.2145678888,0.9757265428512316,Single,ensemble
short_stay_per_km2,10.672163196536587,426.1611672812589,79.71123285333634,0.9477542263564084,Multi,ensemble
short_stay_per_person,5.455713608589761,0.5496894907994214,0.1300603016176138,0.9819989908406852,Single,ensemble
arrivals,6.273482126264189,313875.4914104633,148659.27004424992,0.9972891107010344,Single,linear
arrivals_per_km2,5.5049548006744695,83.40291836727162,32.15857906055587,0.9960771350542442,Single,linear
arrivals_per_person,3.10999971572429,0.0990313303274691,0.0673762267478258,0.9987624909045268,Single,linear
bed_places,8.858169637818907,11514.535472409196,5931.274552180727,0.9955256742177578,Single,linear
bed_places_per_1k_persons,9.148680073981962,17.00480932158051,6.879650219138052,0.969478471900884,Single,linear
bed_places_per_km2,5.483161452206077,0.9060711098367366,0.423022305417907,0.9965992281269668,Single,linear
establishments,11.252199126804523,230.11931304530228,123.90392598445476,0.9951612424673568,Single,linear
establishments_per_1k_persons,5.329851765442227,0.4762219280417417,0.1549673401152467,0.9983803198661032,Single,linear
establishments_per_km2,14.841046782357392,0.0251549784074695,0.0148228992695392,0.997369651016086,Single,linear
nights_spent,5.42131788625341,617811.2239988926,383691.7328124711,0.998832975101987,Single,linear
nights_spent_per_km2,7.811560655918434,155.77359739368254,66.89521320386822,0.9992258180247756,Single,linear
nights_spent_per_person,3.5128661652780884,0.3490296132148605,0.1894914911329845,0.9972334728569636,Single,linear
short_stay,6.873592626714189,267473.06682831753,147571.25241590667,0.9937091966446884,Single,linear
short_stay_per_km2,15.073307128227812,120.52251839780855,52.80914148952423,0.9963608739401838,Single,linear
short_stay_per_person,6.18693050354501,0.2421736149179702,0.1328682427206115,0.9889851486207488,Single,linear
arrivals,10.493892670197589,543556.9388584491,266259.638744213,0.9918700652457176,Single,xgboost
arrivals_per_km2,8.422457095920105,527.2553642430959,149.47310126740075,0.8432228101158012,Single,xgboost
arrivals_per_person,4.783377808302458,0.3622499949306569,0.1480756738804005,0.9834415397646372,Single,xgboost
bed_places,11.027633821673804,30780.4771189136,14263.362733043325,0.9680268479277668,Single,xgboost
bed_places_per_1k_persons,8.708519942643928,17.710131742534912,5.670165957132974,0.9668940294722476,Single,xgboost
bed_places_per_km2,8.030836618655806,1.8732995092727365,0.8419029057239585,0.9854632482952717,Single,xgboost
establishments,7.45117464711239,744.1986570457266,235.51734515103428,0.949393595027626,Single,xgboost
establishments_per_1k_persons,8.482792049470596,10.445924593534414,1.645589822309989,0.2207007642408185,Single,xgboost
establishments_per_km2,8.496941746621577,0.1266091329815761,0.0318487764602458,0.9333660521678836,Single,xgboost
nights_spent,8.431869330427713,4562523.868660149,1365554.559536638,0.9363528689055524,Single,xgboost
nights_spent_per_km2,6.611479841021595,1206.2689949651135,293.6799855009381,0.9535758792593036,Single,xgboost
nights_spent_per_person,5.383354837747284,0.836014941758948,0.4084563528362074,0.984127751199137,Multi,xgboost
short_stay,8.270232776192426,1002303.0637299158,344935.9927884616,0.9116627020797028,Multi,xgboost
short_stay_per_km2,9.298691164211537,259.7798745902636,76.71940090270996,0.9830927992421206,Single,xgboost
short_stay_per_person,6.674254268591271,0.4091032599053206,0.1713928598936865,0.9685666351869004,Single,xgboost
