geo,indicator,forecast_year,forecast_value,model_used
FR22,arrivals_per_km2,2024,152.64288,Single
FR23,arrivals_per_km2,2024,205.4526,Single
FR24,arrivals_per_km2,2024,152.49005,Single
FR25,arrivals_per_km2,2024,254.7706,Single
FR26,arrivals_per_km2,2024,149.06853,Single
FR3,arrivals_per_km2,2024,393.4115,Single
FR30,arrivals_per_km2,2024,393.4115,Single
FR41,arrivals_per_km2,2024,158.64175,Single
FR42,arrivals_per_km2,2024,582.20123,Single
FR43,arrivals_per_km2,2024,123.15965,Single
FR51,arrivals_per_km2,2024,238.54816,Single
FR52,arrivals_per_km2,2024,282.65494,Single
FR53,arrivals_per_km2,2024,200.81252,Single
FR61,arrivals_per_km2,2024,253.07953,Single
FR62,arrivals_per_km2,2024,151.75478,Single
FR63,arrivals_per_km2,2024,82.49128,Single
FR71,arrivals_per_km2,2024,393.7222,Single
FR72,arrivals_per_km2,2024,124.987274,Single
FR81,arrivals_per_km2,2024,326.39578,Single
FR82,arrivals_per_km2,2024,539.815,Single
FR83,arrivals_per_km2,2024,320.27423,Single
FRA1,arrivals_per_km2,2024,201.09105,Single
FRA2,arrivals_per_km2,2024,253.35295,Single
FRA3,arrivals_per_km2,2024,3.1886601,Single
FRA4,arrivals_per_km2,2024,225.50317,Single
FRA5,arrivals_per_km2,2024,54.119797,Single
FRZZ,arrivals_per_km2,2024,3.1886601,Single
HR04,arrivals_per_km2,2024,85.85366,Single
HU10,arrivals_per_km2,2024,690.8582,Single
HUZZ,arrivals_per_km2,2024,3.1886601,Single
IE01,arrivals_per_km2,2024,86.88577,Single
IE02,arrivals_per_km2,2024,206.54169,Single
IS00,arrivals_per_km2,2024,54.894276,Single
ITZZ,arrivals_per_km2,2024,3.1886601,Single
LT00,arrivals_per_km2,2024,54.750374,Single
MTZZ,arrivals_per_km2,2024,3.1886601,Single
NL31,arrivals_per_km2,2024,1369.3905,Single
NL33,arrivals_per_km2,2024,1975.9381,Single
NLZZ,arrivals_per_km2,2024,3.1886601,Single
NO08,arrivals_per_km2,2024,217.77022,Single
NO09,arrivals_per_km2,2024,64.93885,Single
NOZZ,arrivals_per_km2,2024,3.1886601,Single
PL11,arrivals_per_km2,2024,78.63288,Single
PL12,arrivals_per_km2,2024,155.85603,Single
PL31,arrivals_per_km2,2024,44.679195,Single
PL32,arrivals_per_km2,2024,68.19468,Single
PL33,arrivals_per_km2,2024,57.40799,Single
PL34,arrivals_per_km2,2024,38.508648,Single
PLZZ,arrivals_per_km2,2024,3.1886601,Single
PT16,arrivals_per_km2,2024,162.58586,Single
PT17,arrivals_per_km2,2024,2213.1155,Single
PT18,arrivals_per_km2,2024,64.24485,Single
RS11,arrivals_per_km2,2024,3.1886601,Single
RS12,arrivals_per_km2,2024,3.1886601,Single
RS21,arrivals_per_km2,2024,3.1886601,Single
RS22,arrivals_per_km2,2024,3.1886601,Single
TR10,arrivals_per_km2,2024,2366.1414,Single
TR21,arrivals_per_km2,2024,65.44498,Single
TR22,arrivals_per_km2,2024,104.93838,Single
TR33,arrivals_per_km2,2024,49.19763,Single
TR51,arrivals_per_km2,2024,102.57699,Single
TR52,arrivals_per_km2,2024,29.83414,Single
TR63,arrivals_per_km2,2024,43.14685,Single
TR72,arrivals_per_km2,2024,17.468866,Single
TR81,arrivals_per_km2,2024,73.63327,Single
TR82,arrivals_per_km2,2024,20.641996,Single
TR90,arrivals_per_km2,2024,69.03429,Single
TRA1,arrivals_per_km2,2024,20.64863,Single
TRA2,arrivals_per_km2,2024,14.238846,Single
TRB2,arrivals_per_km2,2024,27.923685,Single
TRC1,arrivals_per_km2,2024,75.21524,Single
TRC2,arrivals_per_km2,2024,29.741312,Single
TRC3,arrivals_per_km2,2024,29.881107,Single
UKC1,arrivals_per_km2,2024,250.62454,Single
UKC2,arrivals_per_km2,2024,392.9139,Single
UKD1,arrivals_per_km2,2024,429.85165,Single
UKD3,arrivals_per_km2,2024,2341.2532,Single
UKD4,arrivals_per_km2,2024,753.8787,Single
UKD6,arrivals_per_km2,2024,583.6452,Single
UKD7,arrivals_per_km2,2024,2135.2751,Single
UKE1,arrivals_per_km2,2024,320.82733,Single
UKE2,arrivals_per_km2,2024,539.815,Single
UKE3,arrivals_per_km2,2024,1044.2174,Single
UKE4,arrivals_per_km2,2024,1111.7213,Single
UKF1,arrivals_per_km2,2024,536.50385,Single
UKF2,arrivals_per_km2,2024,431.18112,Single
UKF3,arrivals_per_km2,2024,280.97116,Single
UKG1,arrivals_per_km2,2024,251.61937,Single
UKG2,arrivals_per_km2,2024,326.68982,Single
UKG3,arrivals_per_km2,2024,4725.47,Single
UKH1,arrivals_per_km2,2024,393.81,Single
UKH2,arrivals_per_km2,2024,717.01776,Single
UKH3,arrivals_per_km2,2024,394.5448,Single
UKI1,arrivals_per_km2,2024,3.1886601,Single
UKI2,arrivals_per_km2,2024,3.1886601,Single
UKI3,arrivals_per_km2,2024,18675.074,Single
UKI4,arrivals_per_km2,2024,18675.074,Single
UKI5,arrivals_per_km2,2024,10366.335,Single
UKI6,arrivals_per_km2,2024,10196.919,Single
UKI7,arrivals_per_km2,2024,4725.47,Single
UKJ1,arrivals_per_km2,2024,853.017,Single
UKJ2,arrivals_per_km2,2024,1114.5557,Single
UKJ3,arrivals_per_km2,2024,1019.61676,Single
UKJ4,arrivals_per_km2,2024,720.1954,Single
UKK1,arrivals_per_km2,2024,638.0562,Single
UKK2,arrivals_per_km2,2024,730.7598,Single
UKK3,arrivals_per_km2,2024,1111.4938,Single
UKK4,arrivals_per_km2,2024,637.582,Single
UKL1,arrivals_per_km2,2024,431.19913,Single
UKL2,arrivals_per_km2,2024,329.09216,Single
UKM2,arrivals_per_km2,2024,283.48187,Single
UKM3,arrivals_per_km2,2024,284.16992,Single
UKM5,arrivals_per_km2,2024,187.66298,Single
UKM6,arrivals_per_km2,2024,49.436943,Single
UKN0,arrivals_per_km2,2024,105.329704,Single
AL01,arrivals_per_person,2024,0.75490016,Single
AL02,arrivals_per_person,2024,0.7586215,Single
AL03,arrivals_per_person,2024,0.9017573,Single
ATZZ,arrivals_per_person,2024,0.32196268,Single
DKZZ,arrivals_per_person,2024,0.32196268,Single
ESZZ,arrivals_per_person,2024,0.32196268,Single
FR21,arrivals_per_person,2024,0.32196268,Single
FR22,arrivals_per_person,2024,0.32196268,Single
FR23,arrivals_per_person,2024,0.32196268,Single
FR24,arrivals_per_person,2024,0.32196268,Single
FR25,arrivals_per_person,2024,0.32196268,Single
FR26,arrivals_per_person,2024,0.32196268,Single
FR3,arrivals_per_person,2024,0.32196268,Single
FR30,arrivals_per_person,2024,0.32196268,Single
FR41,arrivals_per_person,2024,0.32196268,Single
FR42,arrivals_per_person,2024,0.32196268,Single
FR43,arrivals_per_person,2024,0.32196268,Single
FR51,arrivals_per_person,2024,0.32196268,Single
FR52,arrivals_per_person,2024,0.32196268,Single
FR53,arrivals_per_person,2024,0.32196268,Single
FR61,arrivals_per_person,2024,0.32196268,Single
FR62,arrivals_per_person,2024,0.32196268,Single
FR63,arrivals_per_person,2024,0.32196268,Single
FR71,arrivals_per_person,2024,0.32196268,Single
FR72,arrivals_per_person,2024,0.32196268,Single
FR81,arrivals_per_person,2024,0.32196268,Single
FR82,arrivals_per_person,2024,0.32196268,Single
FR83,arrivals_per_person,2024,0.32196268,Single
FRA1,arrivals_per_person,2024,0.32196268,Single
FRA2,arrivals_per_person,2024,0.32196268,Single
FRA3,arrivals_per_person,2024,0.32196268,Single
FRA4,arrivals_per_person,2024,0.32196268,Single
FRA5,arrivals_per_person,2024,0.32196268,Single
FRZZ,arrivals_per_person,2024,0.32196268,Single
HR04,arrivals_per_person,2024,1.048985,Single
HU10,arrivals_per_person,2024,0.32196268,Single
