indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
STR_accommodation_beds,25.017804114880157,738725.5934962439,431409.2641122811,0.3838408393190352,Single,ensemble
employment_accommodation_catering,36.12491005535481,523392.75919054507,306074.9731390855,0.544486083254125,Multi,ensemble
employment_other,25.943082392444104,5943893.771395771,3447095.659236258,0.7149923635858166,Single,ensemble
employment_total,21.490031158797475,6759783.419830018,3914846.604088627,0.6778215757501599,Single,ensemble
employment_total_greece,31.250000634483328,37030838.48448216,21379764.59533333,-0.4999999980355256,Single,ensemble
expenditure_per_overnight_stay,27.41855836588532,484.82082716867785,289.2220206665474,0.5300083983748836,Single,ensemble
guest_beds,29.170817150478705,381141.0469739001,224722.37037575955,0.3916302402480904,Single,ensemble
guest_beds_per_km2,18.56921090003341,81.46789390729083,47.47921950869094,0.5836042210511738,Single,ensemble
guest_beds_per_person,27.007558846920222,0.2053812803736074,0.1320811682154501,-0.0845238424410537,Multi,ensemble
hotels_avg_duration_of_stay_domestic,19.700054306540736,9.638960563328205,5.612446434348608,0.4937990170121352,Single,ensemble
hotels_avg_duration_of_stay_foreign,22.330071103990687,11.142051772955044,6.55536140329956,0.4557305994861657,Single,ensemble
hotels_avg_duration_of_stay_total,18.940191519605797,9.224097562411275,5.500405170416305,0.6013952910659905,Single,ensemble
hotels_domestic_arrivals,24.68963410717121,5453115.232960651,3194627.7981111817,0.7380273789506986,Multi,ensemble
hotels_domestic_overnights,14.846013063881466,8693760.936265996,5061884.55600446,0.8244130697431926,Single,ensemble
hotels_foreign_arrivals,41.64109039244548,24571715.503161237,14389807.153437495,0.266226582649274,Multi,ensemble
hotels_foreign_overnights,27.67707978002628,47329089.59151908,28244047.71953507,0.4360528799664382,Single,ensemble
hotels_total_arrivals,31.93645012073037,30018707.05843437,17512775.701306786,0.4175787704318183,Multi,ensemble
hotels_total_arrivals_per_km2,29.53219868678568,7672.212504976131,4438.942355124317,0.4409272692278385,Single,ensemble
hotels_total_arrivals_per_person,22.56016299622515,5.486659239776577,3.9732768092226536,0.5835461570892211,Single,ensemble
hotels_total_overnights,17.106734492782895,38477119.625501096,22694257.50965306,0.7887447724856361,Single,ensemble
land_area,25.51172895289872,15110.544462222364,8986.022376824461,0.6383710106188862,Single,ensemble
population,29.82525184673552,20126166.81554029,11672283.945815563,0.4970431764710884,Multi,ensemble
receipts,31.92133402652486,25661.951832896983,14933.852315933069,0.4721658837111804,Multi,ensemble
rooms,33.417865679613904,295197.7431972839,172119.8172572463,-0.3600027960474992,Single,ensemble
short_stay_total_arrivals,25.82604042757279,1975418.7644438236,1197338.430759363,0.5632876672224194,Single,ensemble
short_stay_total_arrivals_per_km2,50.89863294158518,569.5842597095117,368.2458387130609,0.4493705845828395,Single,ensemble
short_stay_total_arrivals_per_person,36.332659493199685,1.0425160241341365,0.7405040897852017,0.5550580372527256,Single,ensemble
short_stay_total_overnights,23.236666103518967,3935913.572446717,2434057.126710287,0.7002028401660407,Single,ensemble
turnover_accommodation,30.034105204737266,8656020.85787315,5127663.900867042,0.8361801349221073,Single,ensemble
turnover_catering,31.381820858297683,33679891.16462598,19460050.27018797,-0.0124696395589096,Multi,ensemble
turnover_total,19.73348875901981,23286587.99365717,13565211.494632876,0.8197983021137455,Single,ensemble
units,30.198254028845938,3900.4105719643903,2334.4150364676284,0.4010859977601323,Single,ensemble
STR_accommodation_beds,14.7215163691543,401184.1534205018,234821.5297467865,0.8182752169774281,Single,linear
employment_accommodation_catering,27.454057837876068,257607.91914402877,152911.66936921852,0.8896519536056875,Single,linear
employment_other,3.2273813727363385,934429.5214047196,540594.7003336437,0.9929561918374806,Single,linear
employment_total,4.398724000893687,449069.6027126835,263527.833445286,0.9985781355115444,Single,linear
employment_total_greece,31.25000000012181,37030838.50873088,21379764.58133333,-0.5000000000000002,Single,linear
expenditure_per_overnight_stay,16.77840090394078,97.20908662653218,67.7676854727647,0.981105244077402,Single,linear
guest_beds,16.212351952015744,162450.94100494834,97509.32043078257,0.8894800611611569,Multi,linear
guest_beds_per_km2,4.399974455250904,20.06267682659259,11.756960086622955,0.974747109529064,Single,linear
guest_beds_per_person,29.0171221621626,0.0753383385341087,0.0680215683857121,0.8540683587936448,Single,linear
hotels_avg_duration_of_stay_domestic,10.193347906390295,4.949880581272665,2.8868254839705183,0.8665089896010127,Single,linear
hotels_avg_duration_of_stay_foreign,11.742754973058618,6.380262654413761,3.7514551664685576,0.8215318633433732,Single,linear
hotels_avg_duration_of_stay_total,7.211089783615144,3.928040331636153,2.2973796858366646,0.9277152761925292,Single,linear
hotels_domestic_arrivals,6.353391987168322,513167.9064254098,315528.46438533254,0.997680013111375,Single,linear
hotels_domestic_overnights,14.854858694488806,6721321.179559371,3942970.982941695,0.8950491171088238,Multi,linear
hotels_foreign_arrivals,17.511653769456125,14357413.205142943,8332967.066848539,0.7494794152214762,Multi,linear
hotels_foreign_overnights,6.187475968803287,4297596.252649792,2699195.059071735,0.995350210348826,Multi,linear
hotels_total_arrivals,9.441211086065987,11427858.360770108,6643081.73714041,0.9155921322800152,Multi,linear
hotels_total_arrivals_per_km2,11.207920221523349,3135.0763686600376,1816.0286097861224,0.90664806771938,Single,linear
hotels_total_arrivals_per_person,8.826139230989392,2.5895718695606766,1.7326767428601324,0.9072301541847292,Single,linear
hotels_total_overnights,2.2382239939530337,2451597.673686201,1570174.1708423796,0.9991423684317504,Multi,linear
land_area,6.746031878208399,7125.62154218393,4113.979518873759,0.9195828799077144,Single,linear
population,18.22239348449264,3522831.970880592,2066533.896011992,0.9845903623503656,Multi,linear
receipts,17.07227320091619,5909.339664152105,3579.532073410206,0.9720104450210912,Multi,linear
rooms,23.560605100725247,150260.08089463782,88791.52303968747,0.6476283403516352,Multi,linear
short_stay_total_arrivals,14.945507999197307,552612.8640985768,328263.2100005903,0.9692763402551496,Single,linear
