geo,year,geo_label,nuts_level,country_code,country_name,is_el_regional_unit,arrivals,arrivals_per_person,arrivals_per_km2,establishments,bed_places,bed_places_per_1k_persons,bed_places_per_km2,establishments_per_1k_persons,establishments_per_km2,gfcf_sector_ghi,nights_spent,nights_spent_per_person,nights_spent_per_km2,short_stay,short_stay_per_person,short_stay_per_km2
AL01,2018,Veri,2,AL,Albania,0,291011.0,0.355,,516.0,36119.0,44.059,,0.629,,,915992.0,1.117,,,,
AL01,2019,Veri,2,AL,Albania,0,327752.0,0.403,,502.0,32623.0,40.089,,0.617,,,1078360.0,1.325,,,,
AL01,2020,Veri,2,AL,Albania,0,128180.0,0.159,,398.0,49145.0,61.073,,0.495,,,461798.0,0.574,,,,
AL01,2021,Veri,2,AL,Albania,0,328683.0,0.412,30.377,398.0,49145.0,61.589,4.542,0.499,0.037,,825761.0,1.035,76.318,,,
AL01,2022,Veri,2,AL,Albania,0,392259.0,0.5,36.253,424.0,29265.0,37.329,2.705,0.541,0.039,,981124.0,1.251,90.677,,,
AL01,2023,Veri,2,AL,Albania,0,600988.0,0.779,55.544,475.0,35251.0,45.72,3.258,0.616,0.044,,1560639.0,2.024,144.237,,,
AL01,2024,Veri,2,AL,Albania,0,668037.0,,61.741,540.0,35460.0,,3.277,,0.05,,1671619.0,,154.493,,,
AL02,2018,Qender,2,AL,Albania,0,468692.0,0.403,,383.0,19953.0,17.163,,0.329,,,1095904.0,0.943,,,,
AL02,2019,Qender,2,AL,Albania,0,459774.0,0.393,,399.0,21997.0,18.799,,0.341,,,1076512.0,0.92,,,,
AL02,2020,Qender,2,AL,Albania,0,245504.0,0.209,,467.0,22128.0,18.812,,0.397,,,488603.0,0.415,,,,
AL02,2021,Qender,2,AL,Albania,0,458645.0,0.389,92.338,467.0,22128.0,18.777,4.455,0.396,0.094,,1145547.0,0.972,230.632,,,
AL02,2022,Qender,2,AL,Albania,0,647353.0,0.549,130.331,480.0,39817.0,33.783,8.016,0.407,0.097,,1557837.0,1.322,313.637,,,
AL02,2023,Qender,2,AL,Albania,0,909889.0,0.772,183.187,,48184.0,40.904,9.701,,,,2243740.0,1.905,451.729,,,
AL02,2024,Qender,2,AL,Albania,0,1460328.0,,294.006,589.0,49133.0,,9.892,,0.119,,3148479.0,,633.879,,,
AL03,2018,Jug,2,AL,Albania,0,483058.0,0.544,,427.0,23485.0,26.447,,0.481,,,1062761.0,1.197,,,,
AL03,2019,Jug,2,AL,Albania,0,465970.0,0.53,,504.0,34327.0,39.073,,0.574,,,1098547.0,1.25,,,,
AL03,2020,Jug,2,AL,Albania,0,291496.0,0.337,,592.0,27094.0,31.322,,0.684,,,655043.0,0.757,,,,
AL03,2021,Jug,2,AL,Albania,0,443588.0,0.52,34.112,592.0,27094.0,31.75,2.084,0.694,0.046,,1214764.0,1.424,93.415,,,
AL03,2022,Jug,2,AL,Albania,0,530370.0,0.638,40.785,676.0,40334.0,48.537,3.102,0.813,0.052,,1292368.0,1.555,99.382,,,
AL03,2023,Jug,2,AL,Albania,0,825253.0,1.015,63.461,782.0,46263.0,56.92,3.558,0.962,0.06,,2203475.0,2.711,169.446,,,
AL03,2024,Jug,2,AL,Albania,0,1050076.0,,80.75,969.0,46619.0,,3.585,,0.075,,2625616.0,,201.908,,,
AT11,2008,Burgenland,2,AT,Austria,0,786623.0,2.8,,445.0,28934.0,102.976,,1.584,,190.0,2474767.0,8.808,,,,
AT11,2009,Burgenland,2,AT,Austria,0,798221.0,2.823,,453.0,29238.0,103.396,,1.602,,169.0,2529421.0,8.945,,,,
AT11,2010,Burgenland,2,AT,Austria,0,845241.0,2.979,,452.0,28399.0,100.103,,1.593,,158.0,2581588.0,9.1,,,,
AT11,2011,Burgenland,2,AT,Austria,0,840590.0,2.954,,439.0,27812.0,97.73,,1.543,,182.0,2607258.0,9.162,,,,
AT11,2012,Burgenland,2,AT,Austria,0,850474.0,2.976,,443.0,27875.0,97.539,,1.55,,210.0,2617668.0,9.16,,,,
AT11,2013,Burgenland,2,AT,Austria,0,837371.0,2.921,211.191,441.0,28646.0,99.919,7.225,1.538,0.111,164.0,2549486.0,8.893,642.998,,,
AT11,2014,Burgenland,2,AT,Austria,0,878605.0,3.057,221.59,438.0,28701.0,99.859,7.239,1.524,0.11,229.0,2617465.0,9.107,660.142,,,
AT11,2015,Burgenland,2,AT,Austria,0,888530.0,3.081,224.093,436.0,28414.0,98.538,7.166,1.512,0.11,259.0,2621950.0,9.093,661.274,,,
AT11,2016,Burgenland,2,AT,Austria,0,963304.0,3.31,242.952,427.0,28252.0,97.082,7.125,1.467,0.108,237.0,2785313.0,9.571,702.475,,,
AT11,2017,Burgenland,2,AT,Austria,0,964866.0,3.305,243.346,427.0,28293.0,96.913,7.136,1.463,0.108,272.0,2781046.0,9.526,701.399,,,
AT11,2018,Burgenland,2,AT,Austria,0,962773.0,3.29,242.879,418.0,27551.0,94.135,6.95,1.428,0.105,283.0,2732386.0,9.336,689.3,74375.0,0.254,18.763
AT11,2019,Burgenland,2,AT,Austria,0,1008015.0,3.435,254.292,412.0,27404.0,93.391,6.913,1.404,0.104,338.0,2807665.0,9.568,708.291,100861.0,0.344,25.444
AT11,2020,Burgenland,2,AT,Austria,0,651267.0,2.212,164.295,410.0,27748.0,94.241,7.0,1.392,0.103,381.0,1990790.0,6.761,502.217,84180.0,0.286,21.236
AT11,2021,Burgenland,2,AT,Austria,0,703910.0,2.378,177.576,412.0,27912.0,94.294,7.041,1.392,0.104,454.0,2186092.0,7.385,551.486,90489.0,0.306,22.828
AT11,2022,Burgenland,2,AT,Austria,0,929686.0,3.124,234.532,428.0,28292.0,95.073,7.137,1.438,0.108,558.0,2610132.0,8.771,658.459,132308.0,0.445,33.377
AT11,2023,Burgenland,2,AT,Austria,0,1045486.0,3.47,263.745,427.0,62626.0,207.887,15.799,1.417,0.108,,2842291.0,9.435,717.026,156940.0,0.521,39.591
AT11,2024,Burgenland,2,AT,Austria,0,1105626.0,3.662,278.917,455.0,62579.0,207.249,15.787,1.507,0.115,,2983732.0,9.882,752.707,169161.0,0.56,42.674
AT12,2008,Niederösterreich,2,AT,Austria,0,2191796.0,1.374,,1461.0,65045.0,40.768,,0.916,,2595.0,5901719.0,3.699,,,,
AT12,2009,Niederösterreich,2,AT,Austria,0,2112161.0,1.318,,1464.0,66420.0,41.436,,0.913,,2378.0,5813863.0,3.627,,,,
AT12,2010,Niederösterreich,2,AT,Austria,0,2157002.0,1.343,,1439.0,66540.0,41.435,,0.896,,1840.0,5861712.0,3.65,,,,
AT12,2011,Niederösterreich,2,AT,Austria,0,2254364.0,1.401,,1154.0,67959.0,42.224,,0.717,,2306.0,6021715.0,3.741,,,,
AT12,2012,Niederösterreich,2,AT,Austria,0,2265791.0,1.403,,1470.0,68803.0,42.617,,0.911,,1940.0,6085526.0,3.769,,,,
AT12,2013,Niederösterreich,2,AT,Austria,0,2193818.0,1.355,114.386,1487.0,69154.0,42.725,3.606,0.919,0.078,1808.0,5910564.0,3.652,308.179,,,
AT12,2014,Niederösterreich,2,AT,Austria,0,2269664.0,1.396,118.341,1476.0,68541.0,42.166,3.574,0.908,0.077,1912.0,6066275.0,3.732,316.298,,,
AT12,2015,Niederösterreich,2,AT,Austria,0,2350628.0,1.436,122.563,1459.0,68399.0,41.789,3.566,0.891,0.076,2031.0,6124107.0,3.742,319.313,,,
AT12,2016,Niederösterreich,2,AT,Austria,0,2418567.0,1.463,126.105,1429.0,68714.0,41.552,3.583,0.864,0.075,2397.0,6213061.0,3.757,323.951,,,
AT12,2017,Niederösterreich,2,AT,Austria,0,2621401.0,1.574,136.681,1434.0,67465.0,40.501,3.518,0.861,0.075,2612.0,6491384.0,3.897,338.463,,,
AT12,2018,Niederösterreich,2,AT,Austria,0,2769708.0,1.658,144.414,1435.0,67868.0,40.623,3.539,0.859,0.075,2492.0,6700076.0,4.01,349.344,198735.0,0.119,10.362
AT12,2019,Niederösterreich,2,AT,Austria,0,2960179.0,1.765,154.345,1447.0,68246.0,40.682,3.558,0.863,0.075,2738.0,6931168.0,4.132,361.394,264872.0,0.158,13.811
AT12,2020,Niederösterreich,2,AT,Austria,0,1467157.0,0.871,76.498,1450.0,68450.0,40.64,3.569,0.861,0.076,2531.0,3987757.0,2.368,207.923,175860.0,0.104,9.169
AT12,2021,Niederösterreich,2,AT,Austria,0,1583071.0,0.936,82.542,1478.0,69056.0,40.84,3.601,0.874,0.077,2427.0,4405820.0,2.606,229.721,176455.0,0.104,9.2
AT12,2022,Niederösterreich,2,AT,Austria,0,2395430.0,1.41,124.899,1505.0,70588.0,41.552,3.68,0.886,0.078,2628.0,5891034.0,3.468,307.161,339597.0,0.2,17.707
AT12,2023,Niederösterreich,2,AT,Austria,0,2762558.0,1.608,144.041,1506.0,68616.0,39.931,3.578,0.876,0.079,,6581820.0,3.83,343.178,483249.0,0.281,25.197
AT12,2024,Niederösterreich,2,AT,Austria,0,2766615.0,1.605,144.245,1587.0,69942.0,40.576,3.647,0.921,0.083,,6604761.0,3.832,344.357,579820.0,0.336,30.23
AT13,2008,Wien,2,AT,Austria,0,4592962.0,2.748,,410.0,55338.0,33.112,,0.245,,2273.0,10224100.0,6.118,,,,
AT13,2009,Wien,2,AT,Austria,0,4384442.0,2.61,,421.0,56759.0,33.782,,0.251,,2158.0,9833991.0,5.853,,,,
AT13,2010,Wien,2,AT,Austria,0,4876773.0,2.886,,417.0,57148.0,33.815,,0.247,,2105.0,10850917.0,6.421,,,,
AT13,2011,Wien,2,AT,Austria,0,5223934.0,3.068,,441.0,59307.0,34.828,,0.259,,2634.0,11382773.0,6.685,,,,
AT13,2012,Wien,2,AT,Austria,0,5598857.0,3.261,,518.0,63096.0,36.746,,0.302,,2515.0,12233335.0,7.124,,,,
AT13,2013,Wien,2,AT,Austria,0,5829482.0,3.348,14046.945,529.0,68229.0,39.184,164.407,0.304,1.275,2600.0,12679225.0,7.282,30552.349,,,
AT13,2014,Wien,2,AT,Austria,0,6194446.0,3.506,14926.376,551.0,70150.0,39.706,169.036,0.312,1.328,2870.0,13440328.0,7.607,32386.333,,,
AT13,2015,Wien,2,AT,Austria,0,6557374.0,3.648,15800.901,604.0,73901.0,41.117,178.075,0.336,1.455,2634.0,14194660.0,7.898,34204.0,,,
AT13,2016,Wien,2,AT,Austria,0,6830959.0,3.712,16460.142,1072.0,74771.0,40.631,180.171,0.583,2.583,3141.0,14753867.0,8.017,35551.487,,,
AT13,2017,Wien,2,AT,Austria,0,6988343.0,3.742,16839.381,1212.0,75462.0,40.406,181.836,0.649,2.92,3218.0,15093839.0,8.082,36370.696,,,
AT13,2018,Wien,2,AT,Austria,0,7359627.0,3.897,17734.041,1735.0,78672.0,41.652,189.571,0.919,4.181,3382.0,15843767.0,8.388,38177.752,3851531.0,2.039,9280.798
AT13,2019,Wien,2,AT,Austria,0,7701010.0,4.059,18556.651,2070.0,79245.0,41.763,190.952,1.091,4.988,3322.0,16817937.0,8.863,40525.149,5056658.0,2.665,12184.718
AT13,2020,Wien,2,AT,Austria,0,1952814.0,1.022,4705.576,2266.0,80352.0,42.043,193.619,1.186,5.46,3179.0,4350844.0,2.277,10483.961,1711091.0,0.895,4123.111
AT13,2021,Wien,2,AT,Austria,0,2022511.0,1.053,4873.52,2159.0,73768.0,38.402,177.754,1.124,5.202,3619.0,4754484.0,2.475,11456.588,1703957.0,0.887,4105.92
AT13,2022,Wien,2,AT,Austria,0,5446788.0,2.82,13124.79,2902.0,83829.0,43.399,201.998,1.502,6.993,3086.0,12624154.0,6.536,30419.648,4097231.0,2.121,9872.846
AT13,2023,Wien,2,AT,Austria,0,7191315.0,3.628,17328.47,3400.0,90098.0,45.456,217.104,1.715,8.193,,16474060.0,8.311,39696.53,5783462.0,2.918,13936.053
AT13,2024,Wien,2,AT,Austria,0,7995037.0,3.986,19265.149,3492.0,99334.0,49.524,239.359,1.741,8.414,,18175943.0,9.062,43797.453,6626016.0,3.303,15966.304
AT21,2008,Kärnten,2,AT,Austria,0,2399725.0,4.287,,2956.0,158088.0,282.444,,5.281,,688.0,10998768.0,19.651,,,,
AT21,2009,Kärnten,2,AT,Austria,0,2395652.0,4.282,,2874.0,154145.0,275.524,,5.137,,458.0,10816952.0,19.335,,,,
AT21,2010,Kärnten,2,AT,Austria,0,2377404.0,4.261,,2903.0,154470.0,276.829,,5.203,,546.0,10438031.0,18.706,,,,
AT21,2011,Kärnten,2,AT,Austria,0,2489436.0,4.472,,2867.0,162925.0,292.653,,5.15,,587.0,10678729.0,19.182,,,,
AT21,2012,Kärnten,2,AT,Austria,0,2559747.0,4.604,,2878.0,149622.0,269.091,,5.176,,608.0,10888704.0,19.583,,,,
AT21,2013,Kärnten,2,AT,Austria,0,2528371.0,4.552,265.112,2832.0,149157.0,268.523,15.64,5.098,0.297,654.0,10821533.0,19.482,1134.689,,,
AT21,2014,Kärnten,2,AT,Austria,0,2510198.0,4.516,263.206,2835.0,148114.0,266.449,15.53,5.1,0.297,600.0,10466930.0,18.829,1097.508,,,
AT21,2015,Kärnten,2,AT,Austria,0,2585815.0,4.637,271.135,2765.0,142508.0,255.555,14.943,4.958,0.29,678.0,10545425.0,18.911,1105.738,,,
AT21,2016,Kärnten,2,AT,Austria,0,2691316.0,4.802,282.197,2695.0,141191.0,251.91,14.805,4.808,0.283,716.0,11045652.0,19.707,1158.189,,,
AT21,2017,Kärnten,2,AT,Austria,0,2814590.0,5.016,295.123,2717.0,140473.0,250.363,14.729,4.842,0.285,765.0,11310192.0,20.158,1185.928,,,
AT21,2018,Kärnten,2,AT,Austria,0,2862452.0,5.103,300.142,2720.0,140448.0,250.398,14.727,4.849,0.285,713.0,11548941.0,20.59,1210.962,918238.0,1.637,96.282
AT21,2019,Kärnten,2,AT,Austria,0,2929716.0,5.223,307.195,2716.0,140165.0,249.876,14.697,4.842,0.285,799.0,11568419.0,20.623,1213.004,982078.0,1.751,102.976
AT21,2020,Kärnten,2,AT,Austria,0,2091292.0,3.726,219.282,2721.0,138999.0,247.641,14.575,4.848,0.285,973.0,9475912.0,16.882,993.595,834407.0,1.487,87.492
AT21,2021,Kärnten,2,AT,Austria,0,2016680.0,3.588,211.459,2736.0,139320.0,247.861,14.608,4.868,0.287,1014.0,8828510.0,15.707,925.711,615257.0,1.095,64.513
AT21,2022,Kärnten,2,AT,Austria,0,2783903.0,4.932,291.906,2791.0,139190.0,246.567,14.595,4.944,0.293,1117.0,11150661.0,19.753,1169.2,1144975.0,2.028,120.056
AT21,2023,Kärnten,2,AT,Austria,0,2894854.0,5.088,303.539,2796.0,137431.0,241.538,14.41,4.914,0.293,,11392166.0,20.022,1194.523,1392316.0,2.447,145.991
AT21,2024,Kärnten,2,AT,Austria,0,2921458.0,5.128,306.329,2843.0,135902.0,238.532,14.25,4.99,0.298,,11354344.0,19.929,1190.557,1593373.0,2.797,167.073
AT22,2008,Steiermark,2,AT,Austria,0,2635948.0,2.19,,2308.0,91522.0,76.034,,1.917,,1185.0,8804087.0,7.314,,,,
AT22,2009,Steiermark,2,AT,Austria,0,2717690.0,2.256,,2370.0,94261.0,78.238,,1.967,,1102.0,8911822.0,7.397,,,,
AT22,2010,Steiermark,2,AT,Austria,0,2808833.0,2.331,,2372.0,95170.0,78.976,,1.968,,1272.0,9087786.0,7.541,,,,
AT22,2011,Steiermark,2,AT,Austria,0,2918229.0,2.419,,2344.0,97130.0,80.498,,1.943,,1397.0,9286510.0,7.696,,,,
AT22,2012,Steiermark,2,AT,Austria,0,3009862.0,2.49,,2374.0,98145.0,81.199,,1.964,,1215.0,9463090.0,7.829,,,,
AT22,2013,Steiermark,2,AT,Austria,0,3101025.0,2.561,189.098,2393.0,97597.0,80.594,5.951,1.976,0.146,1367.0,9619986.0,7.944,586.62,,,
AT22,2014,Steiermark,2,AT,Austria,0,3155848.0,2.597,192.441,2398.0,107365.0,88.348,6.547,1.973,0.146,1407.0,9716916.0,7.996,592.531,,,
AT22,2015,Steiermark,2,AT,Austria,0,3332584.0,2.728,203.219,2432.0,112499.0,92.094,6.86,1.991,0.148,1407.0,10006435.0,8.191,610.186,,,
AT22,2016,Steiermark,2,AT,Austria,0,3546637.0,2.879,216.272,2471.0,116262.0,94.368,7.09,2.006,0.151,1527.0,10555258.0,8.567,643.653,,,
AT22,2017,Steiermark,2,AT,Austria,0,3674784.0,2.97,224.086,2471.0,118592.0,95.848,7.232,1.997,0.151,1609.0,10971252.0,8.867,669.02,,,
AT22,2018,Steiermark,2,AT,Austria,0,3748160.0,3.022,228.574,2481.0,125850.0,101.474,7.675,2.0,0.151,1741.0,11158448.0,8.997,680.476,832022.0,0.671,50.739
AT22,2019,Steiermark,2,AT,Austria,0,3853916.0,3.1,235.024,2521.0,128815.0,103.628,7.856,2.028,0.154,1892.0,11357291.0,9.137,692.602,968963.0,0.78,59.09
AT22,2020,Steiermark,2,AT,Austria,0,2539079.0,2.037,154.841,2574.0,129439.0,103.851,7.894,2.065,0.157,1851.0,8312490.0,6.669,506.921,751849.0,0.603,45.85
AT22,2021,Steiermark,2,AT,Austria,0,2410769.0,1.933,147.016,2618.0,131380.0,105.35,8.012,2.099,0.16,2084.0,7553182.0,6.057,460.616,622354.0,0.499,37.953
AT22,2022,Steiermark,2,AT,Austria,0,3679262.0,2.937,224.373,2684.0,132557.0,105.798,8.084,2.142,0.164,2643.0,11085428.0,8.848,676.023,1332804.0,1.064,81.278
AT22,2023,Steiermark,2,AT,Austria,0,3942458.0,3.116,240.423,2817.0,143626.0,113.521,8.759,2.227,0.172,,11735762.0,9.276,715.683,1690177.0,1.336,103.072
AT22,2024,Steiermark,2,AT,Austria,0,4031194.0,3.175,245.82,2929.0,148638.0,117.056,9.064,2.307,0.179,,11961235.0,9.42,729.388,1958708.0,1.543,119.441
AT31,2008,Oberösterreich,2,AT,Austria,0,2145878.0,1.526,,1586.0,68414.0,48.667,,1.128,,1142.0,6127267.0,4.359,,,,
AT31,2009,Oberösterreich,2,AT,Austria,0,2163147.0,1.536,,1600.0,69643.0,49.441,,1.136,,1096.0,6079155.0,4.316,,,,
AT31,2010,Oberösterreich,2,AT,Austria,0,2179028.0,1.546,,1573.0,69227.0,49.123,,1.116,,1123.0,6005118.0,4.261,,,,
AT31,2011,Oberösterreich,2,AT,Austria,0,2253674.0,1.598,,1559.0,70050.0,49.673,,1.105,,1167.0,6219301.0,4.41,,,,
AT31,2012,Oberösterreich,2,AT,Austria,0,2378899.0,1.683,,1554.0,70352.0,49.759,,1.099,,1329.0,6444340.0,4.558,,,,
AT31,2013,Oberösterreich,2,AT,Austria,0,2335100.0,1.646,194.868,1534.0,68931.0,48.594,5.752,1.081,0.128,1429.0,6296414.0,4.439,525.446,,,
AT31,2014,Oberösterreich,2,AT,Austria,0,2389757.0,1.677,199.429,1495.0,67957.0,47.675,5.671,1.049,0.125,1521.0,6229045.0,4.37,519.823,,,
AT31,2015,Oberösterreich,2,AT,Austria,0,2512007.0,1.748,209.631,1521.0,68439.0,47.618,5.711,1.058,0.127,1487.0,6417597.0,4.465,535.558,,,
AT31,2016,Oberösterreich,2,AT,Austria,0,2617650.0,1.8,218.447,1507.0,67834.0,46.655,5.661,1.036,0.126,1753.0,6619984.0,4.553,552.448,,,
AT31,2017,Oberösterreich,2,AT,Austria,0,2740410.0,1.871,228.691,1500.0,68542.0,46.785,5.72,1.024,0.125,1433.0,6888592.0,4.702,574.864,,,
AT31,2018,Oberösterreich,2,AT,Austria,0,2897439.0,1.966,241.836,1513.0,70829.0,48.066,5.912,1.027,0.126,1651.0,7279929.0,4.94,607.623,439556.0,0.298,36.688
AT31,2019,Oberösterreich,2,AT,Austria,0,3012244.0,2.032,251.418,1504.0,69922.0,47.178,5.836,1.015,0.126,1825.0,7586775.0,5.119,633.234,535482.0,0.361,44.694
AT31,2020,Oberösterreich,2,AT,Austria,0,1603358.0,1.076,133.825,1565.0,71004.0,47.645,5.926,1.05,0.131,1788.0,4725893.0,3.171,394.449,360051.0,0.242,30.052
AT31,2021,Oberösterreich,2,AT,Austria,0,1680026.0,1.123,140.224,1625.0,72615.0,48.552,6.061,1.087,0.136,1970.0,5032787.0,3.365,420.064,339244.0,0.227,28.315
AT31,2022,Oberösterreich,2,AT,Austria,0,2663732.0,1.77,222.33,1620.0,74658.0,49.602,6.231,1.076,0.135,2308.0,7102633.0,4.719,592.825,670475.0,0.445,55.962
AT31,2023,Oberösterreich,2,AT,Austria,0,3057321.0,2.008,255.181,1662.0,92159.0,60.518,7.692,1.091,0.139,,7792079.0,5.117,650.37,841389.0,0.553,70.227
AT31,2024,Oberösterreich,2,AT,Austria,0,3137453.0,2.05,261.847,1799.0,89333.0,58.374,7.456,1.176,0.15,,7983236.0,5.217,666.269,995408.0,0.65,83.075
AT32,2008,Salzburg,2,AT,Austria,0,4903840.0,9.324,,3293.0,165299.0,314.29,,6.261,,956.0,20042061.0,38.107,,,,
AT32,2009,Salzburg,2,AT,Austria,0,4832640.0,9.175,,3303.0,167474.0,317.969,,6.271,,929.0,19423427.0,36.878,,,,
AT32,2010,Salzburg,2,AT,Austria,0,5001115.0,9.495,,3299.0,162500.0,308.507,,6.263,,990.0,19563869.0,37.142,,,,
AT32,2011,Salzburg,2,AT,Austria,0,5148105.0,9.752,,3265.0,168759.0,319.688,,6.185,,928.0,19613068.0,37.154,,,,
AT32,2012,Salzburg,2,AT,Austria,0,5505406.0,10.393,,3255.0,169779.0,320.517,,6.145,,948.0,20721553.0,39.119,,,,
AT32,2013,Salzburg,2,AT,Austria,0,5672162.0,10.664,792.755,3295.0,167544.0,314.993,23.416,6.195,0.461,914.0,21139146.0,39.743,2954.458,,,
AT32,2014,Salzburg,2,AT,Austria,0,5736186.0,10.736,801.703,3374.0,170148.0,318.468,23.78,6.315,0.472,1000.0,21004395.0,39.314,2935.625,,,
AT32,2015,Salzburg,2,AT,Austria,0,6006196.0,11.152,839.44,3400.0,170123.0,315.876,23.777,6.313,0.475,1063.0,21586066.0,40.08,3016.92,,,
AT32,2016,Salzburg,2,AT,Austria,0,6368416.0,11.668,890.065,3406.0,172587.0,316.201,24.121,6.24,0.476,1219.0,22653944.0,41.505,3166.17,,,
AT32,2017,Salzburg,2,AT,Austria,0,6725451.0,12.245,939.965,3419.0,174791.0,318.228,24.429,6.225,0.478,1135.0,23341866.0,42.497,3262.315,,,
AT32,2018,Salzburg,2,AT,Austria,0,6984464.0,12.64,976.302,3452.0,190500.0,344.747,26.628,6.247,0.483,1311.0,24271810.0,43.925,3392.761,2777919.0,5.027,388.303
AT32,2019,Salzburg,2,AT,Austria,0,7201019.0,12.97,1006.572,3485.0,185644.0,334.361,25.95,6.277,0.487,1589.0,24765838.0,44.605,3461.817,3010807.0,5.423,420.856
AT32,2020,Salzburg,2,AT,Austria,0,4022106.0,7.203,562.218,3577.0,180871.0,323.904,25.282,6.406,0.5,1428.0,16229724.0,29.064,2268.622,1969879.0,3.528,275.354
AT32,2021,Salzburg,2,AT,Austria,0,3223687.0,5.749,450.613,3687.0,182070.0,324.713,25.45,6.576,0.515,1315.0,11537126.0,20.576,1612.682,1221869.0,2.179,170.795
AT32,2022,Salzburg,2,AT,Austria,0,6246487.0,11.103,873.146,3758.0,186651.0,331.761,26.09,6.68,0.525,1432.0,22340779.0,39.709,3122.837,3245870.0,5.769,453.714
AT32,2023,Salzburg,2,AT,Austria,0,7091862.0,12.478,991.314,3927.0,189040.0,332.614,26.424,6.91,0.549,,25064004.0,44.1,3503.495,4053749.0,7.133,566.641
AT32,2024,Salzburg,2,AT,Austria,0,7175376.0,12.556,1002.988,4007.0,193687.0,338.922,27.074,7.012,0.56,,25220227.0,44.132,3525.332,4265030.0,7.463,596.174
AT33,2008,Tirol,2,AT,Austria,0,7569621.0,10.82,,6667.0,270057.0,386.023,,9.53,,1508.0,34118014.0,48.769,,,,
AT33,2009,Tirol,2,AT,Austria,0,7544211.0,10.739,,6557.0,271272.0,386.151,,9.334,,1450.0,33441600.0,47.604,,,,
AT33,2010,Tirol,2,AT,Austria,0,7788051.0,11.052,,6530.0,269520.0,382.481,,9.267,,1516.0,33517686.0,47.566,,,,
AT33,2011,Tirol,2,AT,Austria,0,8062246.0,11.395,,6595.0,269098.0,380.341,,9.321,,1618.0,33549266.0,47.418,,,,
AT33,2012,Tirol,2,AT,Austria,0,8312629.0,11.682,,6539.0,272750.0,383.301,,9.189,,1458.0,34684574.0,48.743,,,,
AT33,2013,Tirol,2,AT,Austria,0,8552390.0,11.947,676.185,6491.0,273770.0,382.42,21.645,9.067,0.513,1413.0,35102108.0,49.033,2775.309,,,
AT33,2014,Tirol,2,AT,Austria,0,8638959.0,11.965,683.03,6442.0,274234.0,379.805,21.682,8.922,0.509,1487.0,34534903.0,47.83,2730.464,,,
AT33,2015,Tirol,2,AT,Austria,0,9166148.0,12.577,724.711,6387.0,270897.0,371.69,21.418,8.763,0.505,1650.0,35355640.0,48.51,2795.354,,,
AT33,2016,Tirol,2,AT,Austria,0,9622919.0,13.019,760.825,6293.0,273135.0,369.531,21.595,8.514,0.498,1972.0,36543479.0,49.441,2889.269,,,
AT33,2017,Tirol,2,AT,Austria,0,9980743.0,13.376,789.116,6358.0,280456.0,375.869,22.174,8.521,0.503,1903.0,37356125.0,50.065,2953.52,,,
AT33,2018,Tirol,2,AT,Austria,0,10383031.0,13.823,820.923,6335.0,282532.0,376.138,22.338,8.434,0.501,2071.0,38580323.0,51.362,3050.31,3828366.0,5.097,302.685
AT33,2019,Tirol,2,AT,Austria,0,10508744.0,13.924,830.862,6373.0,275883.0,365.551,21.812,8.444,0.504,2230.0,38871383.0,51.505,3073.323,4106053.0,5.441,324.64
AT33,2020,Tirol,2,AT,Austria,0,6014458.0,7.938,475.526,6438.0,276994.0,365.604,21.9,8.498,0.509,1982.0,25221795.0,33.29,1994.133,2815665.0,3.716,222.617
AT33,2021,Tirol,2,AT,Austria,0,5019250.0,6.603,396.841,6542.0,277622.0,365.242,21.95,8.607,0.517,1633.0,18821441.0,24.762,1488.096,1717505.0,2.26,135.793
AT33,2022,Tirol,2,AT,Austria,0,9395424.0,12.296,742.839,6780.0,281589.0,368.523,22.264,8.873,0.536,2482.0,35505983.0,46.468,2807.241,4545206.0,5.948,359.362
AT33,2023,Tirol,2,AT,Austria,0,10372562.0,13.448,820.095,6967.0,285688.0,370.396,22.588,9.033,0.551,,38439624.0,49.837,3039.186,5557879.0,7.206,439.427
AT33,2024,Tirol,2,AT,Austria,0,10685548.0,13.771,844.774,7106.0,286333.0,369.0,22.637,9.158,0.562,,39270166.0,50.608,3104.606,5925086.0,7.636,468.423
AT34,2008,Vorarlberg,2,AT,Austria,0,1606854.0,4.395,,1312.0,55787.0,152.599,,3.589,,366.0,6018900.0,16.464,,,,
AT34,2009,Vorarlberg,2,AT,Austria,0,1618425.0,4.409,,1344.0,55355.0,150.808,,3.662,,387.0,5983227.0,16.301,,,,
AT34,2010,Vorarlberg,2,AT,Austria,0,1666665.0,4.524,,1354.0,56805.0,154.208,,3.676,,363.0,6035628.0,16.385,,,,
AT34,2011,Vorarlberg,2,AT,Austria,0,1715620.0,4.646,,1345.0,58261.0,157.761,,3.642,,355.0,5981042.0,16.196,,,,
AT34,2012,Vorarlberg,2,AT,Austria,0,1843981.0,4.971,,1335.0,58907.0,158.811,,3.599,,393.0,6401930.0,17.259,,,,
AT34,2013,Vorarlberg,2,AT,Austria,0,1890546.0,5.074,726.574,1332.0,58042.0,155.774,22.307,3.575,0.512,427.0,6568911.0,17.63,2524.562,,,
AT34,2014,Vorarlberg,2,AT,Austria,0,1872929.0,4.991,719.804,1320.0,58344.0,155.467,22.423,3.517,0.507,449.0,6364519.0,16.959,2446.01,,,
